departure_airport_name,departure_airport_code,departure_city_name,departure_city_code,departure_city_longitude,departure_city_latitude,departure_country_name,departure_country_code,arrival_airport_name,arrival_airport_code,arrival_city_name,arrival_city_code,arrival_city_longitude,arrival_city_latitude,arrival_country_name,arrival_country_code,airline_name,airline_assured_name,stopover_count,stopover_city_name,stopover_city_code,stopover_city_longitude,stopover_city_latitude,stopover_airport_name,stopover_airport_code,stopover_country,distance,type
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Dublin,DUB,Dublin,DUB,-6.25,53.35,Irlande,IE,Air France,Cityjet,0,,,,,,,,785,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Dublin,DUB,Dublin,DUB,-6.25,53.35,Irlande,IE,Transavia France,,0,,,,,,,,797,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Dubrovnik,DBV,Dubrovnik,DBV,18.09,42.65,Croatie,HR,Transavia France,,0,,,,,,,,1411,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Duesseldorf International,DUS,Düsseldorf,DUS,6.77,51.23,Allemagne,DE,Air France,WDL Aviation,0,,,,,,,,393,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Duesseldorf International,DUS,Düsseldorf,DUS,6.77,51.23,Allemagne,DE,Air France,HOP!,0,,,,,,,,393,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Edinburgh,EDI,Edimbourg,EDI,-3.21,55.95,Royaume-Uni,GB,Air France,HOP!,0,,,,,,,,869,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Edinburgh,EDI,Edimbourg,EDI,-3.21,55.95,Royaume-Uni,GB,Air France,,0,,,,,,,,869,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Edinburgh,EDI,Edimbourg,EDI,-3.21,55.95,Royaume-Uni,GB,Transavia France,,0,,,,,,,,892,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Yerevan,EVN,Erevan,EVN,44.52,40.15,Arménie,AM,Air France,,0,,,,,,,,3413,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Essaouira,ESU,Essaouira,ESU,-9.77,31.53,Maroc,MA,Transavia France,,1,Fès,FEZ,-4.97,34.03,Aéroport de Sais,FEZ,Maroc,2179,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Essaouira,ESU,Essaouira,ESU,-9.77,31.53,Maroc,MA,Transavia France,,0,,,,,,,,2179,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,EuroAirport Swiss,BSL,EuroAéroport,EAP,7.53,47.59,Suisse,CH,Air France,HOP!,0,,,,,,,,401,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Faro,FAO,Faro,FAO,-7.97,37.01,Portugal,PT,Transavia France,,0,,,,,,,,1550,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Sais,FEZ,Fès,FEZ,-4.97,34.03,Maroc,MA,Transavia France,,0,,,,,,,,1756,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Sud Corse,FSC,Figari,FSC,9.1,41.5,France,FR,Air France,,0,,,,,,,,980,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Sud Corse,FSC,Figari,FSC,9.1,41.5,France,FR,Air France,,0,,,,,,,,962,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Sud Corse,FSC,Figari,FSC,9.1,41.5,France,FR,Air France,HOP!,0,,,,,,,,962,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Peretola,FLR,Florence,FLR,11.2,43.81,Italie,IT,Air France,,0,,,,,,,,880,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Lamentin,FDF,Fort-de-France,FDF,-61.07,14.59,Martinique,MQ,Air France,,0,,,,,,,,6857,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Francfort,FRA,Francfort,FRA,8.69,50.11,Allemagne,DE,Air France,HOP!,0,,,,,,,,451,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Lungi,FNA,Freetown,FNA,-13.2,8.48,Sierra Leone,SL,Air France,,0,,,,,,,,4731,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Madeira,FNC,Funchal,FNC,-16.96,32.76,Portugal,PT,Transavia France,,0,,,,,,,,2393,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Madeira,FNC,Funchal,FNC,-16.96,32.76,Portugal,PT,Transavia France,,1,Porto,OPO,-8.67,41.17,Aéroport de Porto,OPO,Portugal,2393,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Cristoforo Colombo,GOA,Gênes,GOA,8.95,44.41,Italie,IT,Air France,HOP!,0,,,,,,,,702,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Geneve-Cointrin,GVA,Genève,GVA,6.11,46.24,Suisse,CH,Air France,,0,,,,,,,,409,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Glasgow,GLA,Glasgow,GLA,-4.25,55.87,Royaume-Uni,GB,Air France,HOP!,0,,,,,,,,898,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Glasgow,GLA,Glasgow,GLA,-4.25,55.87,Royaume-Uni,GB,Air France,,0,,,,,,,,898,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Landvetter,GOT,Göteborg,GOT,11.97,57.67,Suède,SE,Air France,HOP!,0,,,,,,,,1157,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Baiyun,CAN,Guangzhou,CAN,113.27,23.13,Chine,CN,Air France,,0,,,,,,,,9466,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Hamburg,HAM,Hambourg,HAM,9.99,53.55,Allemagne,DE,Air France,,0,,,,,,,,729,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Hannover,HAJ,Hanovre,HAJ,9.73,52.38,Allemagne,DE,Air France,HOP!,0,,,,,,,,632,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Hannover,HAJ,Hanovre,HAJ,9.73,52.38,Allemagne,DE,Air France,WDL Aviation,0,,,,,,,,632,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Hannover,HAJ,Hanovre,HAJ,9.73,52.38,Allemagne,DE,Air France,Cityjet,0,,,,,,,,632,LineString
